source_id,url,title,source_type,supports,retrieval_method,accessed_on
AX_BR,https://biharbhumi.bihar.gov.in/BiharBhumi/FAQ_Help,Bihar Bhumi services FAQ,official_research,"Jamabandi, mutation, Bhu Lagan, Parimarjan, possession certificate, map and conversion services",search_excerpt,2026-09-15
AX_MH,https://mahabhumi.gov.in/Mahabhumilink/LogIn/LogIn,Mahabhumi services,official_research,Digitally signed land extracts and e-Hakk mutation applications,search_excerpt,2026-09-15
AX_TN,https://tn.nic.in/news/additional-land-records-services-launch-by-honourable-minister-for-revenue-and-disaster-management-tamil-nadu/,NIC Tamil Nadu land record services,official_research,"Integrated land record, FMB and history of patta transfer",search_excerpt,2026-09-15
AX_KA,https://kalaburagi.nic.in/en/service/land-records/,Karnataka district Bhoomi service,official_research,RTC changes through mutation; landrecords portal route,search_excerpt,2026-09-15
AX_KL,https://www.revenue.kerala.gov.in/revenueportalbeta/index.php,Kerala revenue e-services,official_research,Taxes and service fees can be remitted online; village-specific rollout unresolved,search_excerpt,2026-09-15
AX_PY,https://revenue.py.gov.in/state_govt_list.html,Puducherry official portal directory,official_research,Nilamagal and land registration routes,search_excerpt,2026-09-15
AX_TG,https://www.bhubharati.telangana.gov.in/Bhubharati_faq,Bhu Bharati FAQs,official_research,Mutation application route,search_excerpt,2026-09-15
AX_TG_RULE,https://bhubharati.telangana.gov.in/assets/images/userManuals/G_O_Ms_no_39_Dated_14_04_2025.pdf,"Telangana GO Ms 39, 14 April 2025",official_research,Registration/mutation and prohibited-property check,search_excerpt,2026-09-15
AX_HP,https://himseva.hp.gov.in/pages/staticSite/serviceList.xhtml,Himachal HimSeva services,official_research,Section 118 sale and change-of-use permission services,search_excerpt,2026-09-15
AX_SEBI_INV,https://investor.sebi.gov.in/securities-trading.html,SEBI starting securities investment,official_research,Demat/trading accounts and KYC,opened_page,2026-09-15
AX_SEBI_REG,https://sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&smid=0&ssid=3,SEBI updated regulations directory,official_research,"SAST, PIT and intermediary regulation families; detailed current provisions need review",search_excerpt,2026-09-15
AX_PIT,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752572636085.pdf,SEBI PIT Regulations consolidated March 2025,official_research,"UPSI, designated-person codes; check subsequent amendments",search_excerpt,2026-09-15
AX_IA,https://investor.sebi.gov.in/investment_advisor.html,SEBI investment adviser guidance,official_research,Registration for investment advice business,search_excerpt,2026-09-15
AX_IARA,https://iaraportal.sebi.gov.in/,SEBI IA/RA portal,official_research,Investment adviser and research analyst registration route,search_excerpt,2026-09-15
AX_LRS,https://www.rbi.org.in/scripts/notificationuser.aspx?id=10192,RBI LRS Master Direction,official_research,Resident individual annual aggregate and permitted/prohibited remittances,search_excerpt,2026-09-15
AX_NRI_LAND,https://systemhealth.rbi.org.in/Scripts/FS_FAQs.aspx_Id%3D117%26fn%3D5.html,RBI purchase of immovable property FAQ,official_research,NRI/OCI purchase classes and exclusions; acquisition mode matters,search_excerpt,2026-09-15
AX_STOCKTAX,https://www.incometaxindia.gov.in/en/sale-of-shares,Income Tax Department sale of shares,official_research,Capital gains classification and transfer-date distinctions,search_excerpt,2026-09-15
AX_FA,https://www.incometax.gov.in/iec/foportal/nudge/nudge-schedule-fa,Income Tax Schedule FA guidance,official_research,Foreign asset/income disclosure,opened_page,2026-09-15
AX_DL_EX,https://excise.delhi.gov.in/excise/licences,Delhi excise licence classes,official_research,Hotel/club and other licence categories,search_excerpt,2026-09-15
AX_WB_EX,https://excise.wb.gov.in/CommonUser/egovernance.aspx,West Bengal eAbgari services,official_research,"Licence applications, renewals, label registrations and movement permits",opened_page,2026-09-15
AX_WB_TEMP,https://excise.wb.gov.in/Portal_New_Default.aspx,West Bengal excise portal,official_research,Temporary bar service,search_excerpt,2026-09-15
AX_MH_EX,https://www.stateexcise.maharashtra.gov.in/Form_FLII.aspx,Maharashtra FL-II service,official_research,Retail liquor licence class; availability subject to policy,search_excerpt,2026-09-15
AX_CG_EX,https://excise.cg.nic.in/ePayment/Citizen_Charter.aspx,Chhattisgarh excise citizen charter,official_research,Restaurant bar/hotel and import/export service classes,search_excerpt,2026-09-15
AX_BR_EX,https://state.bihar.gov.in/excise/CitizenHome.html,Bihar prohibition and excise department,official_research,Prohibition framework; do not assume ordinary liquor licence availability,search_excerpt,2026-09-15
AX_IF_REST,https://www.indiafilings.com/learn/licenses-and-registrations-required-for-restaurant,IndiaFilings restaurant licensing discovery,secondary_commercial,Discovery only: local eating-house and liquor topics require current official verification,search_excerpt,2026-09-15
AX_MP_ROUTE,https://sidhi.nic.in/en/service/land-records/,MP official district land-record route,official_research,Official district page identifies mpbhulekh.gov.in,search_excerpt,2026-09-15
AX_AR_ROUTE,https://lisa.arunachal.gov.in/,Arunachal land information system,official_research,Land Holding Certificate lookup,search_excerpt,2026-09-15
AX_AR_LPC,https://services.india.gov.in/service/detail/apply-for-issue-of-land-possession-certificate-arunachal-pradesh-1,Arunachal land possession service,official_research,Department of Land Management certificate service,search_excerpt,2026-09-15
AX_ML_MUT,https://www.meghalaya.gov.in/services/content/36145,Meghalaya mutation service,official_research,"Online mutation, inheritance, sale and record-change service",search_excerpt,2026-09-15
AX_ML_LAW,https://meghalaya.gov.in/sites/default/files/acts/Land_Transfer_Act.pdf,Meghalaya Transfer of Land Act,official_research,Previous sanction for covered transfers involving non-tribal transferees; exceptions and prohibited areas matter,search_excerpt,2026-09-15
AX_MZ_LAW,https://landrevenue.mizoram.gov.in/uploads/attachments/46892c52320cf011549a0e8e392a2ea0/the-mizoram-land-revenue-rules-2013-.pdf,Mizoram Land Revenue Rules 2013,official_research,Mutation/partition framework; current amendments and channel unresolved,search_excerpt,2026-09-15
AX_MCD_TAX,https://mcdonline.nic.in/ptrmcd/web/citizen/info?loginActive=R,MCD property tax citizen portal,official_research,Online property-tax service and tax-due certificate,search_excerpt,2026-09-15
AX_WB_REG,https://wbregistration.gov.in/%28S%28yolxckiitgguqggt0ehu1vnp%29%29/writereaddata/Documents/steps%20of%20registration.pdf,West Bengal registration process,official_research,"e-Requisition for market-value, stamp-duty and registration-fee assessment",search_excerpt,2026-09-15
