Department_Entity,Compliance_Category,Compliance_Name,Governing_Law,Jurisdiction,Applicable_Entity_Types,Turnover_Applicability,Employee_Headcount_Threshold,Trigger_Type,Frequency,Due_Date_Timeline,Digital_or_Physical,Official_Website,Key_Documents_Required,Penalty_Late_Fee,Notes
Labour,"Labour, HR & Payroll",POSH Internal Committee + Annual Report,"Sexual Harassment of Women at Workplace (Prevention, Prohibition & Redressal) Act 2013","Central Act, State-administered","Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,Mandatory at 10+ employees,Employee Trigger,Annual report; committee is standing,Annual report by 31 January to District Officer,Hybrid — committee functions internally (physical hearings where needed); annual report filed digitally/physically depending on state,District Officer / State Women & Child Development portal (varies by state),"Committee constitution order, complaints register, training records","Rs50,000 fine, escalating to licence cancellation on repeat default",
Labour,"Labour, HR & Payroll",Payment of Gratuity Act Compliance,Payment of Gratuity Act 1972,"Central Act, State-administered","Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,"Mandatory at 10+ employees (once covered, stays covered)",Employee Trigger,Ongoing (payable on separation after 5 years' service); Notice (Form A) at commencement,Form A within 30 days of becoming covered; gratuity paid within 30 days of it becoming payable,Hybrid — notices/forms physical in several states; some states now offer online filing,Controlling/Labour Commissioner office of the state,"Employee service records, salary details",Interest on delayed payment + prosecution under the Act,
Labour,"Labour, HR & Payroll",Labour Welfare Fund Contribution,State Labour Welfare Fund Acts,"Central Act, State-administered","Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,Applicable in ~16 states/UTs; threshold varies by state,Employee Trigger,Half-yearly/Annual (varies by state),Varies by state,"Hybrid — mostly digital, some states retain physical challans",State Labour Department portal (state-specific),Employee count & contribution register,Penalty varies by state,Not applicable in all states — verify per state of operation
Labour,"Labour, HR & Payroll",Minimum Wages Compliance & Registers,Minimum Wages Act 1948 / Code on Wages 2019,"Central Act, State-administered","Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,All employers with employees,Employee Trigger,Ongoing,Continuous maintenance; inspections ad hoc,"Physical registers required in most states (Form registers), increasingly digitised",State Labour Department (state-specific),"Wage registers, attendance records, appointment letters",Fines + imprisonment for repeat violation,Labour Codes 2019-2020 are being rolled out state-by-state and will eventually replace this Act
Labour,"Labour, HR & Payroll",Contract Labour Licence (Principal Employer & Contractor),Contract Labour (Regulation & Abolition) Act 1970,"Central Act, State-administered",Establishments engaging 20+ contract workers (and their contractors),N/A,20+ contract workers,Employee Trigger,One-time registration + Annual return,Registration before engaging contract labour; annual return by prescribed date (state-specific),"Hybrid — several states now allow online applications, final licence often needs physical verification",State Labour Department (state-specific),"Contractor agreement, workforce details, welfare amenity plan",Prosecution + licence cancellation,Applies to Principal Employer (registration) and Contractor (licence) separately
FSSAI,Food / FSSAI,FSSAI Basic Registration,Food Safety and Standards Act 2006,"Central (FSSAI), state/local offices process State Licence tier",Food businesses,Turnover up to Rs1.5Cr (revised w.e.f. 1 April 2026),N/A,Turnover Trigger,"One-time (perpetual validity from 2026, no routine renewal)",Before commencing food business,Digital (FoSCoS portal); physical inspection may follow for certain categories,https://foscos.fssai.gov.in,"Identity/address proof, food category declaration, photo",Fine up to Rs5 lakh for operating without registration,Perpetual validity introduced 1 Apr 2026 — no renewal unless suspended/cancelled/surrendered
FSSAI,Food / FSSAI,FSSAI State Licence,Food Safety and Standards Act 2006,"Central (FSSAI), state/local offices process State Licence tier",Food businesses,Rs1.5Cr to Rs50Cr turnover (revised w.e.f. 1 April 2026); some categories mandatorily need State Licence regardless of turnover,N/A,Turnover Trigger,One-time (perpetual validity from 2026),Before commencing/on crossing threshold (upgrade within 1 month of crossing),Digital (FoSCoS) + mandatory physical premises inspection,https://foscos.fssai.gov.in,"Layout plan, water test report, food safety management plan, ID/address proof",Fine up to Rs5 lakh + imprisonment for serious violations,Multi-state chains still require Central Licence regardless of individual outlet turnover
FSSAI,Food / FSSAI,FSSAI Central Licence,Food Safety and Standards Act 2006,"Central (FSSAI), state/local offices process State Licence tier","Food businesses (esp. importers, large manufacturers, multi-state operators)","Above Rs50Cr turnover (revised w.e.f. 1 April 2026); certain categories (imports, railways, large manufacturing, e-commerce food aggregators) always mandatory",N/A,Turnover Trigger / Industry Trigger,One-time (perpetual validity from 2026),Before commencing/on crossing threshold,Digital (FoSCoS) + mandatory physical inspection,https://foscos.fssai.gov.in,"Layout plan, NABL-accredited water test, food safety plan, import-export code (if applicable)",Fine up to Rs10 lakh + imprisonment for serious food safety violations,
Import & Export,Import & Export,IEC (Import Export Code),Foreign Trade (Development & Regulation) Act 1992,Central,Entities engaged in import/export,N/A,N/A,Industry Trigger,One-time (10-digit PAN-based code),Before first import/export shipment,Digital only,https://www.dgft.gov.in,"PAN, bank account/cancelled cheque, address proof, DSC/Aadhaar e-sign",Cannot import/export without IEC,
Import & Export,Import & Export,IEC Annual Updation,"FTDR Act 1992, DGFT Policy",Central,IEC holders,N/A,N/A,Date Trigger,Annual,"Between April-June each year (even with no changes, confirmation required)",Digital only,https://www.dgft.gov.in,Confirmation of existing details or updated KYC,IEC gets deactivated if not updated annually,Introduced to keep DGFT database current; deactivated IECs can be reactivated with late fee
Import & Export,Import & Export,RCMC (Registration-Cum-Membership Certificate),Foreign Trade Policy,Central,Exporters wanting export incentive scheme benefits,N/A,N/A,Industry Trigger,One-time + periodic renewal (typically 5 years),Before claiming export promotion benefits,Digital (via relevant Export Promotion Council),Council-specific portals (e.g. https://www.fieo.org for FIEO),"IEC copy, product/service category proof",Cannot claim EPCG/Advance Authorization/other scheme benefits without RCMC,Issued by product/sector-specific Export Promotion Councils
Import & Export,Import & Export,AD Code Registration (Bank),Foreign Trade Policy / RBI guidelines,Central,Importers/Exporters,N/A,N/A,Industry Trigger,One-time per port/customs location,Before first shipment through a given port,Hybrid — bank-issued AD code letter registered with Customs (ICEGATE) online,https://www.icegate.gov.in,"Bank AD code letter, IEC copy",Cannot clear shipments through customs without AD code registration at port,
Import & Export,Import & Export,EPCG / Advance Authorization Scheme,Foreign Trade Policy,Central,"Manufacturer-exporters (optional, scheme-based)",N/A,N/A,Transaction Trigger,Event-based (per authorization),Before importing capital goods/inputs under scheme,Digital (DGFT portal) + physical bond/bank guarantee submission to Customs,https://www.dgft.gov.in,"Export obligation undertaking, bond/BG, CA certificate",Duty demand + interest + penalty if export obligation unmet,"Optional duty-benefit scheme, not a general compliance requirement"
Business Licences,Business Licences,MSME / Udyam Registration,MSME Development Act 2006,Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",Micro/Small/Medium as per investment & turnover criteria (self-declared),N/A,Turnover Trigger,"One-time (self-declaration, no renewal)",Anytime (recommended at start of business),Digital only,https://udyamregistration.gov.in,"PAN, Aadhaar of proprietor/authorized signatory, GSTIN (if applicable)","No penalty for not registering, but loses MSME benefits (delayed-payment protection, priority lending, tender preferential access)",Free of cost; auto-fetches PAN/GST/ITR data
Business Licences,Business Licences,Trade Licence (Municipal Corporation),State Municipal Corporation Acts (city-specific),Local (Municipal Corporation — varies by city),"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,N/A,Location Trigger,One-time + Annual renewal (most cities),Before commencing operations at a location; renewal typically by start of FY,Hybrid — most metro municipal bodies now have online portals but many require a physical inspection before first issue,City-specific municipal corporation portal — see state/city compliance matrix file,"Shop & Establishment certificate, ownership/rent proof, layout plan, fire NOC (for larger premises)",Sealing of premises + daily penalty for operating without licence,"Authority and process differ by municipal corporation, not just by state — see state matrix for representative examples"
Business Licences,Business Licences,Fire NOC (Fire Safety Certificate),State Fire Services Acts (state-specific),State (State Fire Department),"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,Applicable to establishments above specified built-up area / occupancy (varies by state),Industry Trigger,One-time + periodic renewal (typically 1-3 years),Before occupancy / commencing operations at a qualifying premises,Physical — mandatory on-site fire department inspection in nearly all states,State Fire Department portal (state-specific),"Building plan, fire-fighting equipment certification, occupancy certificate",Closure order + penalty; criminal liability in case of fire incident,"Required for factories, large offices, malls, hotels, warehouses etc. per state occupancy norms"
Factory & Pollution,Factory & Pollution,Factory Licence,Factories Act 1948,"Central Act, State-administered",Manufacturing units,N/A,10+ workers with power; 20+ workers without power (state variations exist),Employee Trigger / Industry Trigger,One-time + Annual renewal,Before commencing manufacturing; renewal typically annual or multi-year (state-specific),"Hybrid — application via state Labour/Factories portal, mandatory physical factory inspection before licence grant","State Directorate of Factories portal (state-specific, e.g. Maharashtra: mahakamgar.gov.in)","Site plan, machinery list, safety certification, manpower details",Closure order + prosecution under the Act,
Factory & Pollution,Factory & Pollution,Factory Licence Renewal,Factories Act 1948,"Central Act, State-administered",Licensed factories,N/A,Same as Factory Licence,Licence Trigger,Annual or multi-year (state-specific),Before expiry of current licence (typically 30-60 days prior),"Hybrid — online renewal application, may include physical inspection",State Directorate of Factories portal (state-specific),"Previous licence, compliance/inspection reports, updated manpower data",Operating with an expired licence treated as non-compliance,
Factory & Pollution,Factory & Pollution,Consent to Establish (CTE),Water (Prevention & Control of Pollution) Act 1974 / Air Act 1981,"Central Act, State-administered","Industrial units (all categories, esp. Red/Orange as per CPCB classification)",N/A,N/A,Industry Trigger,"One-time (per project), before construction",Before starting construction/installation of plant & machinery,Digital application (state PCB / OCMMS portal) + physical site inspection typically required,"State Pollution Control Board portal (state-specific, e.g. https://cpcb.nic.in for central framework)","Project report, effluent/emission treatment plan, site layout, land documents",Closure order + penalty up to Rs1 crore under Environment Protection Act for operating without CTE,Applications increasingly routed through the unified Online Consent Management & Monitoring System (OCMMS)
Factory & Pollution,Factory & Pollution,Consent to Operate (CTO),Water Act 1974 / Air Act 1981,"Central Act, State-administered",Industrial units,N/A,N/A,Licence Trigger,One-time then periodic renewal (1-5 years depending on category),Before commencing operations; renewal before expiry,Digital application + mandatory physical inspection to verify installed pollution-control measures,State Pollution Control Board portal (state-specific),"CTE copy, installed ETP/APC system proof, compliance report",Treated as operating without consent if expired — closure risk,Category (Red/Orange/Green/White) determines validity period and stringency
Factory & Pollution,Factory & Pollution,Hazardous Waste Authorization,Hazardous and Other Wastes (Management & Transboundary Movement) Rules 2016,"Central Act, State-administered",Units generating/handling hazardous waste,N/A,N/A,Industry Trigger,One-time + periodic renewal (aligned with CTO),Along with/after CTO,Digital application + physical verification,State Pollution Control Board portal (state-specific),"Waste inventory, disposal/recycling agreement with authorized handler",Penalty under Environment Protection Act; criminal liability for illegal dumping,
Audit & Assurance,Audit & Assurance,GST Audit / Reconciliation (GSTR-9C),"CGST Act, Sec 44",Central,GST registered entities crossing threshold,Mandatory >Rs5Cr,N/A,Turnover Trigger,Annual,31-Dec,Digital filing; underlying reconciliation work is desk-based,https://www.gst.gov.in,"Audited financials, GSTR-1/3B/2B reconciliation working",Same penalty structure as GSTR-9,Self-certified since GST audit by external CA was removed from FY2020-21
Audit & Assurance,Audit & Assurance,Internal Audit,"Companies Act 2013, Sec 138",Central,Companies crossing specified turnover/borrowing/deposit thresholds,Turnover >=Rs200Cr or paid-up capital >=Rs50Cr (private companies); lower thresholds for listed/public companies,N/A,Turnover Trigger,Annual/ongoing,Ongoing through the year; report placed before Board,Physical/hybrid,https://www.mca.gov.in,"Process documentation, risk register, internal control testing evidence",Penalty under Sec 450 for non-compliance,Threshold-based — most small/mid private companies are exempt
Audit & Assurance,Audit & Assurance,Cost Audit,"Companies Act 2013, Sec 148",Central,Specified industries (companies in regulated/notified sectors) above prescribed turnover,As per Companies (Cost Records & Audit) Rules — sector and turnover specific,N/A,Industry Trigger,Annual,Within 180 days of FY end (Cost Audit Report to Board); CRA-4 filed within 30 days thereof,Physical/hybrid,https://www.mca.gov.in,"Cost accounting records, product/service cost sheets",Penalty under Sec 148(8),"Applies only to notified sectors (e.g. pharma, cement, steel, fertilizers, telecom, etc.)"
Intellectual Property,Intellectual Property,Trademark Registration,Trade Marks Act 1999,Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,N/A,Industry Trigger,One-time (renewable every 10 years),Anytime (recommended before brand launch),Digital (e-filing) — hearings/oppositions may require physical/virtual appearance,https://ipindiaonline.gov.in,"Brand name/logo, class of goods/services, applicant proof, POA (if via agent)",Loss of exclusive brand protection; third parties can register similar marks,
Intellectual Property,Intellectual Property,Trademark Renewal,"Trade Marks Act 1999,",Central,Registered trademark holders,N/A,N/A,Licence Trigger,Every 10 years,6 months before expiry (grace period post-expiry available with surcharge),Digital only,https://ipindiaonline.gov.in,"Existing registration certificate, renewal Form TM-R",Mark becomes liable for removal from register if not renewed,
Intellectual Property,Intellectual Property,Copyright Registration,Copyright Act 1957,Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,N/A,Industry Trigger,One-time (protection: author's life + 60 years for most works),Anytime (registration not mandatory for protection but strengthens enforcement),Digital only,https://copyright.gov.in,"Work sample, ownership declaration, NOC (if applicable)","N/A — copyright exists automatically on creation, registration is evidentiary",
Intellectual Property,Intellectual Property,Patent Application,Patents Act 1970,Central,Entities with patentable inventions,N/A,N/A,Industry Trigger,"One-time (20-year protection, subject to annual renewal fees)",Before public disclosure of invention (first-to-file system),Digital (e-filing); physical hearings possible during examination,https://ipindiaonline.gov.in,"Patent specification, claims, prior-art search, inventor details",Loss of patentability if publicly disclosed before filing,Annual renewal fees payable from 3rd year onward to keep patent in force
Intellectual Property,Intellectual Property,Design Registration,Designs Act 2000,Central,Entities with novel product designs,N/A,N/A,Industry Trigger,"One-time (10 years, extendable by 5)",Before the design is publicly disclosed/sold,Digital (e-filing),https://ipindiaonline.gov.in,"Design representation sheets, applicant proof",Loss of design exclusivity protection,
Accounting & Books,Accounting & Books,Statutory Books of Accounts (Companies Act),"Companies Act 2013, Sec 128",Central,"Private Ltd, Public Ltd",N/A,N/A,Date Trigger,Ongoing,Maintained continuously; retained for 8 years,Physical or digital (electronic maintenance permitted if backed up in India),https://www.mca.gov.in,"Ledgers, vouchers, bank reconciliations, fixed asset register",Penalty under Sec 128(6),
Accounting & Books,Accounting & Books,Statutory Registers (Companies Act),Companies Act 2013,Central,"Private Ltd, Public Ltd",N/A,N/A,Date Trigger,Ongoing,Maintained continuously,"Physical (register of members, directors, charges) — digital copies also kept in practice",https://www.mca.gov.in,"Register of Members, Directors, Charges, Related Party Contracts",Penalty under relevant sections,
Accounting & Books,Accounting & Books,"Books of Accounts (Income Tax Act, Sec 44AA)","Income Tax Act 1961, Sec 44AA",Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",Business: turnover >Rs25L or income >Rs2.5L (specified professions lower threshold); mandatory above tax audit threshold regardless,N/A,Turnover Trigger,Ongoing,Maintained continuously; retained for 6 years from end of relevant AY,Physical or digital,https://www.incometax.gov.in,"Cash book, ledger, journal, bills/vouchers","Penalty of Rs25,000 u/s 271A for non-maintenance",
Accounting & Books,Accounting & Books,Invoice & E-way Bill Record Retention,"CGST Act, Sec 36",Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,N/A,Date Trigger,Ongoing,Retained for 72 months from due date of annual return,Digital (GST portal retains e-invoices/e-way bills; taxpayer must retain underlying records too),https://www.gst.gov.in,"Tax invoices, e-way bills, purchase/sale registers",Penalty and denial of ITC on unsupported claims,
Notices & Responses,Notices & Responses,GST Show Cause Notice (SCN) Response,"CGST Act, Sec 73/74",Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,N/A,Notice Trigger,Event-based,Typically 30 days from notice (varies by notice type),Digital only (GST portal),https://www.gst.gov.in,"Reply draft, supporting documents/reconciliations, legal submissions",Ex-parte order + demand confirmation + penalty if unanswered,Sec 73 (non-fraud) vs Sec 74 (fraud/suppression) carry different penalty exposure
Notices & Responses,Notices & Responses,GST Registration Suspension/Cancellation Notice Response,"CGST Act, Sec 29",Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,N/A,Notice Trigger,Event-based,7 working days typically,Digital only,https://www.gst.gov.in,"Explanation, pending return filings, reconciliation",Registration cancelled if unanswered — business cannot operate under GST,
Notices & Responses,Notices & Responses,Income Tax Intimation u/s 143(1),"Income Tax Act 1961, Sec 143(1)",Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,N/A,Notice Trigger,Event-based,Within 30 days if response sought (rectification via 154 otherwise),Digital only,https://www.incometax.gov.in,"Return copy, computation reconciliation",Demand becomes payable if not contested in time,Automated intimation comparing return with department's computation
Notices & Responses,Notices & Responses,Income Tax Scrutiny Notice u/s 143(2)/142(1),Income Tax Act 1961,Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,N/A,Notice Trigger,Event-based,As specified in notice (typically 15-30 days),Digital only (Faceless Assessment via e-Proceedings),https://www.incometax.gov.in,"Books of accounts, supporting evidence for return entries queried",Best-judgment assessment + penalty if unanswered,Scrutiny is now largely faceless/digital
Notices & Responses,Notices & Responses,EPFO Inspection / Notice Response,EPF Act 1952,Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,N/A,Notice Trigger,Event-based,As specified in notice,"Hybrid — inspection may be physical, response/documents often submitted via Unified Portal",https://www.epfindia.gov.in,"Wage registers, ECR filing history, attendance records",Damages under Sec 14B + prosecution risk,
Notices & Responses,Notices & Responses,MCA / ROC Adjudication or Show Cause Notice,"Companies Act 2013, Sec 454",Central,"Private Ltd, Public Ltd",N/A,N/A,Notice Trigger,Event-based,As specified in notice,Digital filing of response; adjudication hearings often physical/virtual before RD/ROC,https://www.mca.gov.in,"Explanation, supporting filings, compounding application (if applicable)",Penalty as adjudicated + possible director disqualification,
